"ruta","tipo","tienePermisoCheck","seccionDetectada","accionDetectada"
"dashboard/catalogos/patrullas/nuevo/page.tsx","page","NO","",""
"dashboard/catalogos/patrullas/page.tsx","page","NO","",""
"dashboard/page.tsx","page","NO","",""
"denuncia/nuevo/page.tsx","page","si","",""
"envio-de-formatos/consolidar/page.tsx","page","NO","",""
"envio-de-formatos/page.tsx","page","si","formato_n_coordinacion","ver"
"estadisticos/page.tsx","page","si","reportes_ciudadano","ver"
"fiscalia/asegurados/[id]/page.tsx","page","NO","",""
"fiscalia/asegurados/page.tsx","page","NO","",""
"fiscalia/asegurados/puesta-disposicion/[id]/page.tsx","page","NO","",""
"fiscalia/detenidos/[id]/page.tsx","page","NO","",""
"fiscalia/detenidos/page.tsx","page","NO","",""
"fiscalia/expedientes/[solicitudId]/page.tsx","page","si","",""
"fiscalia/liberaciones/[id]/page.tsx","page","NO","",""
"fiscalia/liberaciones/page.tsx","page","NO","",""
"fiscalia/page.tsx","page","NO","",""
"fiscalia/solicitudes/[solicitudId]/page.tsx","page","si","",""
"fiscalia/solicitudes/page.tsx","page","NO","",""
"formato-n-armas-aseguradas/[id]/page.tsx","page","NO","",""
"formato-n-armas-aseguradas/nuevo/page.tsx","page","NO","",""
"formato-n-armas-aseguradas/page.tsx","page","si","formato_n_coordinacion","ver"
"formato-n-atencion-victimas/[id]/page.tsx","page","NO","",""
"formato-n-atencion-victimas/nuevo/page.tsx","page","NO","",""
"formato-n-atencion-victimas/page.tsx","page","si","formato_n_coordinacion","ver"
"formato-n-eventos/[id]/page.tsx","page","NO","",""
"formato-n-eventos/nuevo/page.tsx","page","NO","",""
"formato-n-eventos/page.tsx","page","si","formato_n_coordinacion","ver"
"formato-n-fge/[id]/page.tsx","page","NO","",""
"formato-n-fge/nuevo/page.tsx","page","NO","",""
"formato-n-fge/page.tsx","page","si","formato_n_coordinacion","ver"
"formato-n-fgr/[id]/page.tsx","page","NO","",""
"formato-n-fgr/nuevo/page.tsx","page","NO","",""
"formato-n-fgr/page.tsx","page","si","formato_n_coordinacion","ver"
"formato-n-medios-alternativos/[id]/page.tsx","page","NO","",""
"formato-n-medios-alternativos/nuevo/page.tsx","page","NO","",""
"formato-n-medios-alternativos/page.tsx","page","si","formato_n_coordinacion","ver"
"formato-n-rnd/[id]/page.tsx","page","NO","",""
"formato-n-rnd/nuevo/page.tsx","page","NO","",""
"formato-n-rnd/page.tsx","page","si","formato_n_coordinacion","ver"
"incidentes/page.tsx","page","si","incidentes","ver"
"incidentes_camaras/page.tsx","page","si","incidentes_camaras","ver"
"infracciones/[id]/page.tsx","page","NO","",""
"infracciones/captura/page.tsx","page","si","",""
"modulo_incidentes/page.tsx","page","si","modulo_incidentes","ver"
"monitorista/denuncias/[id]/page.tsx","page","NO","",""
"monitorista/detenidos/[id]/page.tsx","page","si","detenidos","ver"
"monitorista/detenidos/nueva/page.tsx","page","NO","",""
"monitorista/detenidos/page.tsx","page","si","detenidos","ver"
"monitorista/historial/page.tsx","page","si","historial","ver"
"monitorista/incidentes-camara/[id]/page.tsx","page","NO","",""
"monitorista/incidentes-camara/nuevo/page.tsx","page","NO","",""
"monitorista/incidentes-camara/page.tsx","page","si","incidentes_camara","ver"
"monitorista/page.tsx","page","NO","",""
"monitorista/solicitudes/[id]/page.tsx","page","si","solicitudes","ver"
"monitorista/solicitudes/page.tsx","page","si","solicitudes","ver"
"nCoordinacion/page.tsx","page","si","formato_n_coordinacion","ver"
"notificaciones/page.tsx","page","NO","",""
"offline/page.tsx","page","NO","",""
"oficial/configuracion/page.tsx","page","si","",""
"oficial/despachos/[id]/page.tsx","page","si","",""
"oficial/despachos/page.tsx","page","si","",""
"oficial/page.tsx","page","si","",""
"oficial/reportes/[id]/fotos/page.tsx","page","si","",""
"oficial/reportes/[id]/page.tsx","page","si","",""
"oficial/rondin/page.tsx","page","si","",""
"page.tsx","page","NO","",""
"prevencion/busquedas/[id]/imprimir/page.tsx","page","si","busquedas","ver"
"prevencion/busquedas/[id]/page.tsx","page","si","busquedas","ver"
"prevencion/busquedas/nueva/page.tsx","page","si","busquedas","crear|ver"
"prevencion/busquedas/page.tsx","page","si","busquedas","ver"
"prevencion/juridico/page.tsx","page","si","solicitudes","ver"
"prevencion/juridico/solicitudes/[id]/page.tsx","page","si","solicitudes","ver"
"prevencion/juridico/solicitudes/nueva/page.tsx","page","si","solicitudes","crear|ver"
"prevencion/medidas/[id]/page.tsx","page","si","medidas","ver"
"prevencion/medidas/nueva/page.tsx","page","si","medidas","crear|ver"
"prevencion/medidas/page.tsx","page","si","medidas","ver"
"reportes_incidentes/page.tsx","page","si","reportes_ciudadano","ver"
"rol_servicios/page.tsx","page","NO","",""
"sin_robos/page.tsx","page","si","reportes_ciudadano","ver"
"api/admin/roles/route.ts","route","NO","",""
"api/agente_juzgado/finalizarProceso/route.ts","route","si","juzgado","editar"
"api/agente_juzgado/iniciarProceso/route.ts","route","si","juzgado","editar"
"api/analisis/prellenado/[id]/route.ts","route","si","analisis",""
"api/analisis/prellenado-completo/[id]/route.ts","route","si","analisis",""
"api/analisis/reportes-campo/route.ts","route","si","analisis",""
"api/auth/[...all]/route.ts","route","NO","",""
"api/auth/secciones-permitidas/route.ts","route","NO","",""
"api/auth/token-guest/route.ts","route","NO","",""
"api/auxiliar/exportar-robo/route.ts","route","NO","",""
"api/camara/exportar/route.ts","route","si","incidentes_camaras","ver"
"api/complementos/gruas/route.ts","route","NO","",""
"api/corralon/subir-archivo/route.ts","route","si","corralon_solicitudes","ver"
"api/cron/notificaciones/route.ts","route","NO","",""
"api/d1/exportar/route.ts","route","si","reportes_ciudadano","ver"
"api/despacho/buscar-oficial/route.ts","route","si","incidentes",""
"api/despacho/unidades-cercanas/route.ts","route","si","incidentes",""
"api/detenidos/detalle/[id]/route.ts","route","si","detenidos","ver"
"api/detenidos/listar/route.ts","route","si","detenidos","ver"
"api/detenidos/registrar/route.ts","route","si","detenidos","crear"
"api/expediente/proxy/route.ts","route","NO","",""
"api/expediente/subir/route.ts","route","NO","",""
"api/expediente/subir-foto-detenido/route.ts","route","NO","",""
"api/expediente/token/route.ts","route","NO","",""
"api/expediente/vista/[token]/route.ts","route","NO","",""
"api/fiscalia/expediente/subir-foto/route.ts","route","si","",""
"api/health/route.ts","route","NO","",""
"api/incidentes/[id]/despacho/route.ts","route","si","incidentes",""
"api/incidentes/[id]/reporte/route.ts","route","si","incidentes",""
"api/incidentes/[id]/route.ts","route","si","incidentes",""
"api/incidentes/atendidos/route.ts","route","si","incidentes",""
"api/incidentes/bitacora-911/route.ts","route","si","incidentes",""
"api/incidentes/en-despacho/route.ts","route","si","incidentes",""
"api/incidentes/kpi-geo/route.ts","route","si","incidentes",""
"api/incidentes/pendientes-despacho/route.ts","route","si","incidentes",""
"api/incidentes/route.ts","route","si","incidentes",""
"api/monitorista/denuncias/[id]/completar-solicitud/route.ts","route","si","solicitudes","editar"
"api/monitorista/denuncias/subir/route.ts","route","si","solicitudes","crear"
"api/monitorista/detenidos/[id]/editar-campo/route.ts","route","si","detenidos","editar"
"api/monitorista/detenidos/[id]/enviar-foto/route.ts","route","si","detenidos","editar"
"api/monitorista/detenidos/[id]/subir-foto/route.ts","route","si","detenidos","editar"
"api/monitorista/detenidos/generar-ppt/route.ts","route","si","detenidos","ver"
"api/monitorista/evidencias/subir/route.ts","route","si","solicitudes","crear"
"api/monitorista/historial/route.ts","route","si","historial","ver"
"api/monitorista/incidentes-camara/[id]/route.ts","route","si","incidentes_camara","ver|editar"
"api/monitorista/incidentes-camara/route.ts","route","si","incidentes_camara","ver|crear"
"api/monitorista/solicitudes/[id]/completar/route.ts","route","si","solicitudes","editar"
"api/monitorista/solicitudes/[id]/route.ts","route","si","solicitudes","ver"
"api/monitorista/solicitudes/route.ts","route","si","solicitudes","ver|crear"
"api/nCoordinacion/generar/route.ts","route","si","formato_n_coordinacion","ver"
"api/notificaciones/contador/route.ts","route","NO","",""
"api/notificaciones/leer/route.ts","route","NO","",""
"api/notificaciones/route.ts","route","NO","",""
"api/oficial/contador/route.ts","route","si","",""
"api/prevencion/busquedas/[id]/cancelar/route.ts","route","si","busquedas","editar"
"api/prevencion/busquedas/[id]/route.ts","route","si","busquedas","ver|editar"
"api/prevencion/busquedas/[id]/seguimientos/route.ts","route","si","busquedas","editar"
"api/prevencion/busquedas/alertas/route.ts","route","si","busquedas","ver"
"api/prevencion/busquedas/route.ts","route","si","busquedas","ver|crear"
"api/prevencion/medidas/[id]/route.ts","route","si","medidas","ver|editar"
"api/prevencion/medidas/[id]/visitas/route.ts","route","si","medidas","ver|editar"
"api/prevencion/medidas/route.ts","route","si","medidas","ver|crear"
"api/prevencion/solicitudes/[id]/c4/route.ts","route","si","solicitudes","editar"
"api/prevencion/solicitudes/[id]/contestacion/route.ts","route","si","solicitudes","editar"
"api/prevencion/solicitudes/[id]/route.ts","route","si","solicitudes","ver|editar"
"api/prevencion/solicitudes/route.ts","route","si","solicitudes","ver|crear"
"api/registro-detenidos/registrar/route.ts","route","si","detenidos","crear"
"api/reportes/formato-n-armas-aseguradas/[id]/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-armas-aseguradas/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-atencion-victimas/[id]/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-atencion-victimas/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-consolidado/route.ts","route","si","formato_n_coordinacion","ver"
"api/reportes/formato-n-eventos/[id]/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-eventos/fuente/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-eventos/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-fge/[id]/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-fge/calcular/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-fge/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-fgr/[id]/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-fgr/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-medios-alternativos/[id]/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-medios-alternativos/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-rnd/[id]/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-rnd/fuente/route.ts","route","si","formato_n_coordinacion",""
"api/reportes/formato-n-rnd/route.ts","route","si","formato_n_coordinacion",""
"api/reportes-d1/route.ts","route","si","",""
"api/reportes-incidentes/exportar/route.ts","route","si","reportes_ciudadano","ver"
"api/reportes-operativos/exportar-excel/route.ts","route","si","modulo_incidentes","ver"
"api/reportes-sin-d1/exportar/route.ts","route","si","reportes_ciudadano","ver"
"api/reportes-sin-novedad/exportar/route.ts","route","si","reportes_ciudadano","ver"
"api/reportes-telefonicos/exportar/route.ts","route","si","reportes_ciudadano","ver"
"api/rol-servicios/externos/rh/route.ts","route","NO","",""
"api/uploads/[...path]/route.ts","route","NO","",""
"api/via/ciudadano/completar-solicitud/route.ts","route","NO","",""
"api/via/ciudadano/iniciar-solicitud/route.ts","route","NO","",""
"api/via/ciudadano/subir-archivo/route.ts","route","NO","",""
"api/via/curp/route.ts","route","NO","",""
"api/via/descargar-orden/[infraccionId]/route.ts","route","NO","",""
"api/via/exp-digital/guardar-docs/route.ts","route","si","",""
"api/via/exp-digital/guardar-evidencias/route.ts","route","si","",""
"api/via/infracciones/[id]/route.ts","route","NO","",""
"api/via/infracciones/auto-acceso/route.ts","route","NO","",""
"api/via/infracciones/iniciar-proceso/route.ts","route","si","",""
"api/via/infracciones/liberar-garantia/route.ts","route","si","",""
"api/via/infracciones/por-curp/route.ts","route","NO","",""
"api/via/infracciones/registradas/[id]/route.ts","route","si","",""
"api/via/infracciones/registrar/route.ts","route","si","",""
"api/via/infracciones/retencion-placa/route.ts","route","si","",""
"api/via/infracciones/verificar-pin/route.ts","route","NO","",""
"api/via/liberaciones/documentos/[infraccionId]/route.ts","route","NO","",""
"api/via/pagos/confirmar-ausente/[infraccionId]/route.ts","route","NO","",""
"api/via/pagos/confirmar-instante/[infraccionId]/route.ts","route","NO","",""
"api/via/pagos/confirmar-liberacion/[infraccionId]/route.ts","route","NO","",""
"api/via/pagos/confirmar-retenida/[infraccionId]/route.ts","route","NO","",""
"api/via/pagos/finalizar-instante/[infraccionId]/route.ts","route","NO","",""
"api/via/pagos/forzar-pago/[infraccionId]/route.ts","route","NO","",""
"api/via/pagos/verificar-pago-pruebas/[infraccionId]/route.ts","route","NO","",""
"api/via/sa7/buscar-orden/route.ts","route","si","",""
"api/via/sa7/generar-orden-pago/route.ts","route","si","",""
